GameID,Winning_Team,Wicket_1_WT,Wicket_2_WT,Wicket_3_WT,Wicket_4_WT,Wicket_5_WT,Wicket_6_WT,Wicket_7_WT,Wicket_8_WT,Wicket_9_WT,Wicket_10_WT,TotalWT,GameID,Losing_Team,Wicket_1_LT,Wicket_2_LT,Wicket_3_LT,Wicket_4_LT,Wicket_5_LT,Wicket_6_LT,Wicket_7_LT,Wicket_8_LT,Wicket_9_LT,Wicket_10_LT,TotalLT
50,Sixers,34,21,86,9,NA,NA,NA,NA,NA,NA,150,50,Strikers,56,44,15,17,17,NA,NA,NA,NA,NA,149
51,Renegades,85,0,0,21,0,8,11,NA,NA,NA,125,51,Scorchers,22,2,3,6,5,26,0,60,NA,NA,124
52,Heat,14,32,83,16,1,NA,NA,NA,NA,NA,146,52,Thunder,21,42,38,12,18,14,NA,NA,NA,NA,145
53,Hurricanes,38,39,33,0,15,5,NA,NA,NA,NA,130,53,Stars,30,12,13,13,27,4,26,3,NA,NA,128
54,Scorchers,24,20,1,30,4,31,3,NA,NA,NA,113,54,Renegades,2,17,38,22,20,0,5,0,2,6,112
55,Sixers,53,23,31,5,NA,NA,NA,NA,NA,NA,112,55,Strikers,20,12,24,7,29,5,2,10,1,1,111
56,Thunder,20,7,19,39,0,14,11,0,7,NA,117,56,Heat,0,41,2,7,41,9,1,6,2,6,115
57,Scorchers,65,21,62,NA,NA,NA,NA,NA,NA,NA,148,57,Thunder,10,21,4,9,2,42,19,11,3,NA,121
58,Sixers,3,87,14,27,5,2,NA,NA,NA,NA,138,58,Strikers,20,0,2,2,1,0,46,24,17,9,121
59,Sixers,64,36,NA,NA,NA,NA,NA,NA,NA,NA,100,59,Scorchers,23,3,3,12,20,5,5,19,4,5,99
,Totals,2133,1661,1507,816,599,332,216,31,35,7,7482,,Totals,1238,1193,1078,732,829,590,432,383,137,110,6864
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
GameID,Winning_Team,Wicket_1_WT%,Wicket_2_WT%,Wicket_3_WT%,Wicket_4_WT%,Wicket_5_WT%,Wicket_6_WT%,Wicket_7_WT%,Wicket_8_WT%,Wicket_9_WT%,Wicket_10_WT%,,GameID,Losing_Team,Wicket_1_LT%,Wicket_2_LT%,Wicket_3_LT%,Wicket_4_LT%,Wicket_5_LT%,Wicket_6_LT%,Wicket_7_LT%,Wicket_8_LT%,Wicket_9_LT%,Wicket_10_LT%,
1,Thunder,6.00,8.50,0.50,5.50,38.00,0.00,41.50,NA,NA,NA,,1,Renegades,15.87,46.03,24.34,5.29,6.35,2.12,NA,NA,NA,NA,
2,Strikers,26.23,26.23,9.84,37.70,NA,NA,NA,NA,NA,NA,,2,Hurricanes,10.14,23.19,7.97,12.32,0.00,7.97,15.22,14.49,3.62,5.07,
3,Sixers,4.13,61.98,21.07,4.13,8.68,NA,NA,NA,NA,NA,,3,Stars,39.10,6.41,11.54,2.56,19.87,14.74,5.77,NA,NA,NA,
4,Scorchers,8.51,1.06,4.79,44.68,18.62,21.28,1.06,NA,NA,NA,,4,Heat,15.88,1.18,5.29,13.53,12.35,21.18,5.29,23.53,1.76,NA,
5,Strikers,10.23,11.36,66.48,4.55,6.82,0.57,NA,NA,NA,NA,,5,Hurricanes,20.43,1.08,8.60,1.08,15.05,5.38,0.00,18.28,8.60,21.51,
6,Sixers,39.04,17.12,16.44,12.33,15.07,NA,NA,NA,NA,NA,,6,Thunder,2.82,37.32,6.34,31.69,2.11,19.72,NA,NA,NA,NA,
7,Scorchers,86.18,13.82,NA,NA,NA,NA,NA,NA,NA,NA,,7,Sixers,13.11,18.03,7.38,34.43,9.02,1.64,3.28,0.82,12.30,NA,
8,Thunder,74.78,7.83,17.39,NA,NA,NA,NA,NA,NA,NA,,8,Stars,35.09,9.65,8.77,0.88,7.89,1.75,35.96,0.00,NA,NA,
9,Heat,11.21,1.72,67.24,1.72,18.10,NA,NA,NA,NA,NA,,9,Scorchers,20.54,8.93,4.46,8.93,5.36,43.75,7.14,0.89,NA,NA,
10,Thunder,70.37,29.63,NA,NA,NA,NA,NA,NA,NA,NA,,10,Stars,0.00,62.12,18.18,6.82,12.88,NA,NA,NA,NA,NA,
11,Strikers,25.18,21.58,21.58,0.00,14.39,9.35,7.91,NA,NA,NA,,11,Renegades,2.17,10.87,0.00,14.49,37.68,23.19,3.62,7.97,NA,NA,
12,Sixers,15.13,1.32,19.08,43.42,7.89,6.58,0.00,2.63,3.95,NA,,12,Hurricanes,15.13,15.13,21.85,2.52,0.00,0.00,5.88,31.93,7.56,NA,
13,Renegades,7.50,25.00,30.00,12.50,16.88,8.13,NA,NA,NA,NA,,13,Strikers,11.92,19.21,21.19,8.61,15.89,1.99,4.64,5.96,6.62,3.97,
14,Renegades,32.33,16.54,15.04,26.32,0.75,6.77,2.26,NA,NA,NA,,14,Heat,30.40,26.40,3.20,1.60,2.40,11.20,8.00,6.40,3.20,7.20,
15,Sixers,6.06,93.94,NA,NA,NA,NA,NA,NA,NA,NA,,15,Hurricanes,12.24,0.00,28.57,10.20,4.08,18.37,19.39,0.00,4.08,3.06,
16,Renegades,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,,16,Heat,3.03,10.61,25.76,15.15,4.55,12.12,6.06,6.06,6.06,10.61,
17,Scorchers,85.37,14.63,NA,NA,NA,NA,NA,NA,NA,NA,,17,Stars,17.18,58.90,0.00,20.25,3.68,NA,NA,NA,NA,NA,
18,Stars,13.42,12.08,22.82,10.74,11.41,29.53,NA,NA,NA,NA,,18,Scorchers,43.07,28.47,6.57,4.38,17.52,NA,NA,NA,NA,NA,
19,Heat,49.12,50.88,NA,NA,NA,NA,NA,NA,NA,NA,,19,Strikers,4.42,1.77,23.89,4.42,8.85,56.64,NA,NA,NA,NA,
20,Scorchers,74.10,3.60,14.39,6.47,1.44,NA,NA,NA,NA,NA,,20,Sixers,0.00,10.87,40.58,1.45,30.43,0.72,7.25,7.25,0.72,0.72,
21,Thunder,48.28,32.76,10.34,8.62,NA,NA,NA,NA,NA,NA,,21,Hurricanes,4.55,5.45,31.82,28.18,1.82,1.82,21.82,4.55,NA,NA,
22,Thunder,13.13,21.21,65.66,NA,NA,NA,NA,NA,NA,NA,,22,Hurricanes,11.34,39.18,10.31,5.15,9.28,14.43,0.00,10.31,0.00,0.00,
23,Heat,72.13,24.59,3.28,NA,NA,NA,NA,NA,NA,NA,,23,Strikers,27.73,0.84,19.33,5.88,43.70,0.84,0.84,0.84,NA,NA,
24,Sixers,17.97,16.41,7.03,0.78,14.06,33.59,10.16,NA,NA,NA,,24,Renegades,8.70,0.00,25.00,6.52,7.61,20.65,13.04,6.52,2.17,9.78,
26,Strikers,5.88,26.99,3.46,7.27,5.54,0.69,NA,NA,NA,NA,,26,Stars,27.65,7.20,0.00,1.52,7.20,1.52,0.00,1.14,0.00,NA,
27,Stars,10.34,5.52,66.90,17.24,NA,NA,NA,NA,NA,NA,,27,Renegades,12.68,0.70,22.54,9.15,3.52,30.28,21.13,NA,NA,NA,
28,Heat,35.96,34.21,29.82,NA,NA,NA,NA,NA,NA,NA,,28,Hurricanes,16.22,36.94,16.22,20.72,9.91,NA,NA,NA,NA,NA,
29,Thunder,2.07,36.55,12.41,5.52,26.90,0.00,16.55,NA,NA,NA,,29,Scorchers,27.78,31.94,17.36,10.42,9.72,2.78,NA,NA,NA,NA,
30,Heat,5.95,20.24,58.93,10.71,4.17,NA,NA,NA,NA,NA,,30,Hurricanes,12.70,19.05,38.10,12.70,3.97,2.38,2.38,0.79,3.97,3.97,
31,Scorchers,12.50,50.74,36.76,NA,NA,NA,NA,NA,NA,NA,,31,Thunder,0.75,10.45,84.33,0.75,3.73,NA,NA,NA,NA,NA,
32,Strikers,51.49,18.66,10.45,4.48,11.94,1.49,18.66,5.97,14.18,3.73,,32,Stars,52.27,18.94,10.61,4.55,12.12,1.52,NA,NA,NA,NA,
33,Heat,36.57,14.18,8.96,15.67,13.43,11.19,NA,NA,NA,NA,,33,Stars,24.06,57.89,3.01,15.04,NA,NA,NA,NA,NA,NA,
35,Thunder,0.88,16.67,0.88,37.72,35.09,4.39,4.39,NA,NA,NA,,35,Sixers,6.19,24.78,4.42,3.54,33.63,0.00,4.42,15.04,7.96,0.00,
36,Stars,26.60,19.15,29.79,8.51,15.96,NA,NA,NA,NA,NA,,36,Heat,2.15,5.38,1.08,16.13,6.45,11.83,44.09,6.45,6.45,NA,
37,Renegades,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,,37,Hurricanes,62.00,6.00,8.00,1.00,1.00,1.00,5.00,5.00,0.00,11.00,
38,Strikers,8.41,42.06,25.23,16.82,1.87,1.87,3.74,NA,NA,NA,,38,Scorchers,25.00,5.26,3.95,13.16,14.47,18.42,0.00,2.63,15.79,1.32,
39,Hurricanes,16.67,31.67,31.67,0.83,10.00,0.00,5.00,0.00,2.50,1.67,,39,Renegades,4.31,25.00,0.00,43.10,20.69,6.90,NA,NA,NA,NA,
40,Sixers,52.50,6.88,5.00,0.63,15.63,19.38,NA,NA,NA,NA,,40,Heat,62.25,4.64,4.64,11.92,2.65,5.96,0.00,0.66,5.30,1.99,
41,Sixers,0.00,22.22,18.06,15.97,8.33,14.58,7.64,13.19,NA,NA,,41,Heat,0.00,27.78,3.17,46.03,23.02,NA,NA,NA,NA,NA,
43,Thunder,4.05,35.81,3.38,39.86,16.89,NA,NA,NA,NA,NA,,43,Strikers,9.91,15.32,17.12,19.82,18.02,0.00,1.80,16.22,1.80,0.00,
44,Scorchers,62.70,37.30,NA,NA,NA,NA,NA,NA,NA,NA,,44,Hurricanes,17.21,0.00,80.33,0.00,2.46,NA,NA,NA,NA,NA,
45,Scorchers,28.36,0.75,29.10,17.91,23.88,NA,NA,NA,NA,NA,,45,Hurricanes,18.46,0.00,34.62,13.08,10.00,14.62,9.23,NA,NA,NA,
46,Sixers,14.02,8.41,9.35,26.17,23.36,18.69,NA,NA,NA,NA,,46,Stars,1.89,1.89,10.38,6.60,38.68,21.70,18.87,NA,NA,NA,
48,Thunder,1.45,7.25,47.83,10.14,26.09,1.45,5.80,NA,NA,NA,,48,Renegades,1.47,0.00,23.53,7.35,27.94,10.29,23.53,2.94,1.47,1.47,
49,Stars,20.37,50.93,25.00,3.70,NA,NA,NA,NA,NA,NA,,49,Hurricanes,42.06,9.35,24.30,4.67,2.80,0.93,2.80,13.08,NA,NA,
